,City,State,lat,lng,airport name,airport rating
0,New York City,New York,40.7127753,-74.0059728,Airport Operations Center LGA,0
1,Los Angeles,California,34.0522342,-118.2436849,Santa Fe International Corp Heliport,0
2,Chicago,Illinois,41.8781136,-87.6297982,MAG USA,5
3,Houston,Texas,29.7604267,-95.3698028,Airport Express Management Ltd,0
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia Market Street Heliport,0
5,Phoenix,Arizona,33.4483771,-112.0740373,Swift Aviation,4.7
6,San Antonio,Texas,29.4241219,-98.49362819999999,Stinson Municipal Airport,4.7
7,San Diego,California,32.715738,-117.1610838,Lindbergh Field,4.5
8,Dallas,Texas,32.7766642,-96.79698789999999,Dallas Love Field Airport,4.5
9,San Jose,California,37.3382082,-121.8863286,All Nippon Airways,0
10,Austin,Texas,30.267153,-97.7430608,Aviation Dept,0
11,Jacksonville,Florida,30.3321838,-81.65565099999999,"Airport Tower, RVA",5
12,San Francisco,California,37.7749295,-122.4194155,Local & Airport Cab Co,0
13,Indianapolis,Indiana,39.768403,-86.158068,Post Air Airport,4
14,Columbus,Ohio,39.9611755,-82.99879419999999,John Glenn Columbus International Airport,4.3
15,Fort Worth,Texas,32.7554883,-97.3307658,City of Fort Worth Aviation Department,0
16,Charlotte,North Carolina,35.2270869,-80.8431267,Prospect Airport Servcies,2.3
17,Seattle,Washington,47.6062095,-122.3320708,Lake Union Seaplane Terminal,5
18,Denver,Colorado,39.7392358,-104.990251,Police Headquarters Heliport,0
19,El Paso,Texas,31.7618778,-106.4850217,4,0
20,Detroit,Michigan,42.331427,-83.0457538,Coleman A. Young International Airport,4.5
21,Washington,District of Columbia,38.9071923,-77.0368707,General Aviation Airport Coalition,0
22,Boston,Massachusetts,42.3600825,-71.0588801,Superior Aircraft Services,3
23,Memphis,Tennessee,35.1495343,-90.0489801,General DeWitt Spain Airport,4.8
24,Nashville,Tennessee,36.1626638,-86.7816016,John C Tune Airport-Jwn,4.7
25,Portland,Oregon,45.5051064,-122.6750261,World Trade Center Heliport,0
26,Oklahoma City,Oklahoma,35.4675602,-97.5164276,Alaska Airlines - Oklahoma City,4.3
27,Las Vegas,Nevada,36.1699412,-115.1398296,Gilbert Development Corporation Heliport,0
28,Baltimore,Maryland,39.2903848,-76.6121893,BWI Marshall Airport,4.3
29,Louisville,Kentucky,38.2526647,-85.7584557,Jewish Hospital Heliport,3.5
30,Milwaukee,Wisconsin,43.0389025,-87.9064736,Avflight Milwaukee,4.5
31,Albuquerque,New Mexico,35.0843859,-106.650422,Us FAA,5
32,Tucson,Arizona,32.2226066,-110.9747108,Old Gilpin Airlines Hangars,0
33,Fresno,California,36.7377981,-119.7871247,Fresno Chandler Executive Airport,4.4
34,Sacramento,California,38.5815719,-121.4943996,Sacramento Executive Airport,4
35,Kansas City,Missouri,39.0997265,-94.5785667,Charles B. Wheeler Downtown Airport,4.5
36,Long Beach,California,33.7700504,-118.1937395,Aerospace International,0
37,Mesa,Arizona,33.4151843,-111.8314724,Falcon Field Airport,4.7
38,Atlanta,Georgia,33.7489954,-84.3879824,Hartsfield Jackson Atlanta International Airport- Office Of Airport Operations,4.6
39,Colorado Springs,Colorado,38.8338816,-104.8213634,Colorado Springs Airport,4.5
40,Virginia Beach,Virginia,36.8529263,-75.97798499999999,Naval Air Station Oceana,4.2
41,Raleigh,North Carolina,35.7795897,-78.6381787,Bagwell Airport-Nc99,0
42,Omaha,Nebraska,41.2565369,-95.9345034,Omaha Airport Authority,4.5
43,Miami,Florida,25.7616798,-80.1917902,International Place Heliport,0
44,Oakland,California,37.8043514,-122.2711639,Local & Airport Cab Co,0
45,Minneapolis,Minnesota,44.977753,-93.2650108,Minneapolisâˆ’Saint Paul International Airport,4.3
46,Tulsa,Oklahoma,36.1539816,-95.99277500000001,Hillcrest Medical Center Heliport,4.8
47,Wichita,Kansas,37.68717609999999,-97.33005299999999,Westport Airport-71K,4.8
48,New Orleans,Louisiana,29.95106579999999,-90.0715323,The Louisiana Memorial Pavilion,5
49,Arlington,Texas,32.735687,-97.10806559999999,Arlington Municipal Airport,4.2
50,Cleveland,Ohio,41.49932,-81.6943605,Cleveland Burke Lakefront Airport,4.3
51,Bakersfield,California,35.3732921,-119.0187125,Bakersfield Municipal Airport,4.6
52,Tampa,Florida,27.950575,-82.4571776,Peter O. Knight Airport,4.7
53,Aurora,Colorado,39.7294319,-104.8319195,Stapleton International Airport,0
54,Honolulu,Hawai'i,21.3069444,-157.8583333,The Queens Medical Center Heliport,0
55,Anaheim,California,33.8365932,-117.9143012,Fullerton Municipal Airport,4.7
56,Santa Ana,California,33.7454725,-117.867653,Alaska Airlines - Santa Ana,4.8
57,Corpus Christi,Texas,27.8005828,-97.39638099999999,Christus Spohn Hospital Memorial Heliport,5
58,Riverside,California,33.9806005,-117.3754942,Flabob Airport,4.6
59,St. Louis,Missouri,38.6270025,-90.19940419999999,St. Louis Downtown Airport,4.4
60,Lexington,Kentucky,38.0405837,-84.5037164,TAC Air - LEX,4.9
61,Stockton,California,37.9577016,-121.2907796,Stockton Metropolitan Airport,4.2
62,Pittsburgh,Pennsylvania,40.44062479999999,-79.9958864,Grant Oliver Corporation,0
63,Saint Paul,Minnesota,44.9537029,-93.0899578,St. Paul Downtown Airport,4.6
64,Anchorage,Alaska,61.2180556,-149.9002778,Merrill Field-Mountain View-Anchorage Airport,4.1
65,Cincinnati,Ohio,39.1031182,-84.5120196,Christ Hospital Heliport,4
66,Henderson,Nevada,36.0395247,-114.9817213,CCDOA Admin Bldg,5
67,Greensboro,North Carolina,36.0726354,-79.7919754,Air Harbor Airport-W88,4.6
68,Plano,Texas,33.0198431,-96.6988856,Air Park-Dallas Airport,0
69,Newark,New Jersey,40.735657,-74.1723667,United Airlines,3.7
70,Toledo,Ohio,41.6528052,-83.5378674,Toledo Executive Airport,3.8
71,Lincoln,Nebraska,40.813616,-96.7025955,Lincoln Airport,4
72,Orlando,Florida,28.5383832,-81.3789269,United Sales Associates,0
73,Chula Vista,California,32.6400541,-117.0841955,Imperial Beach airport-KNRS,0
74,Jersey City,New Jersey,40.7177545,-74.0431435,American Airlines Cargo,3.4
75,Chandler,Arizona,33.3061605,-111.8412502,Chandler Municipal Airport,4.4
76,Fort Wayne,Indiana,41.079273,-85.1393513,Smith Field Airport,4.9
77,Buffalo,New York,42.88644679999999,-78.8783689,Buffalo Airfield,5
78,Durham,North Carolina,35.9940329,-78.898619,Raleigh-Durham International Airport,4.4
79,St. Petersburg,Florida,27.7676008,-82.64029149999999,Van Fleet International Airport Development,5
80,Irvine,California,33.6845673,-117.8265049,Alaska Airlines - Santa Ana,4.8
81,Laredo,Texas,27.5035613,-99.5075519,Laredo Airport Control Tower,0
82,Lubbock,Texas,33.5778631,-101.8551665,Lubbock Preston Smith International Airport,3.9
83,Madison,Wisconsin,43.0730517,-89.4012302,US FAA,0
84,Gilbert,Arizona,33.3528264,-111.789027,Gateway Aviation Services,4.2
85,Norfolk,Virginia,36.8507689,-76.28587259999999,Norfolk International Airport,4.2
86,Reno,Nevada,39.5296329,-119.8138027,National Guard Building,0
87,Winston-Salem,North Carolina,36.09985959999999,-80.244216,Smith Reynolds Airport,4.6
88,Glendale,Arizona,33.5386523,-112.1859866,Glendale Municipal Airport (GEU),4.2
89,Hialeah,Florida,25.8575963,-80.2781057,Miami-Opa Locka Executive Airport,4.5
90,Garland,Texas,32.912624,-96.63888329999999,Garland-Dallas-Fort Worth Heloplex Heliport,0
91,Scottsdale,Arizona,33.4941704,-111.9260519,Phoenix Sky Harbor International Airport,4.3
92,Irving,Texas,32.8140177,-96.9488945,Dallas Love Field Airport,4.5
93,Chesapeake,Virginia,36.7682088,-76.2874927,CHESAPEAKE AIRPORT AUTHORITY,3
94,North Las Vegas,Nevada,36.1988592,-115.1175013,Gilbert Development Corporation Heliport,0
95,Fremont,California,37.5485396,-121.988583,Palo Alto Airport,4.5
96,Baton Rouge,Louisiana,30.4514677,-91.18714659999999,Airport Information & Paging,5
97,Richmond,Virginia,37.5407246,-77.4360481,Capital Region Airport Commission,4.2
98,Boise,Idaho,43.6150186,-116.2023137,May Airport-0U8,0
99,San Bernardino,California,34.1083449,-117.2897652,County Heliport,0
